Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Manufacturer type (product.metafields.shopify.manufacturer-type),Size (product.metafields.shopify.size),Vehicle drive/handling features (product.metafields.shopify.vehicle-drive-handling-features),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Status
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/rubber.jpg?v=1739237444,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/snowfoam_2.jpg?v=1739237273,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/waterless_wax_standing.jpg?v=1739237273,11,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/IMG_4514.jpg?v=1739237273,12,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/ceramic_standing_up.jpg?v=1739237396,13,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/bug_and_tar_standing_up.jpg?v=1739237413,14,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/EXTREMEWASHSNOWFOAM-FINAL.jpg?v=1739237273,15,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/IRON_POWDER_REMOVER_-FINAL.jpg?v=1739237273,16,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/WATERLESS_WASH_WAX_-FINAL.jpg?v=1739237273,17,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/CERAMIC_COATING_-_FINAL.jpg?v=1739237396,18,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
